288484643148530.25,1.2181879120101647e-24
292588780430562.2,9.060305822453713e-25
305254852661652.6,6.309573444802149e-25
318469235000624.6,4.692762459349024e-25
336982510910755.1,3.852248420036875e-25
361644786445438.25,3.490254878959708e-25
404913226454008.9,3.0599496872073086e-25
472984191679118.6,3.0599496872073086e-25
544748846140221.25,3.0599496872073086e-25
601369093357346.4,3.162277660168483e-25
673318983177938.5,3.490254878959708e-25
732876295422291,3.981071705535116e-25
775479911640104.2,4.8496934285283695e-25
844073699117750.9,6.105402296585563e-25
931805250734876.2,7.943282347243114e-25
1028655467176167.2,9.676410537094892e-25
1103938260022575.4,9.676410537094892e-25
1184730671083834.8,8.208914159638597e-25
